district,state,N_index,P_index,K_index,ph_estimate
Ariyalur,Tamil Nadu,2.0,2.0,2.3,7.6
Chengalpattu,Tamil Nadu,2.1,2.2,2.0,7.0
Chennai,Tamil Nadu,1.8,2.0,1.9,7.2
Coimbatore,Tamil Nadu,2.1,2.1,2.6,7.2
Cuddalore,Tamil Nadu,2.3,2.4,2.1,7.3
Dharmapuri,Tamil Nadu,1.4,1.3,1.9,6.2
Dindigul,Tamil Nadu,2.0,1.8,2.2,7.4
Erode,Tamil Nadu,2.1,2.1,2.6,7.3
Kallakurichi,Tamil Nadu,1.5,2.3,2.0,7.8
Kanchipuram,Tamil Nadu,2.1,2.2,2.0,7.0
Kanyakumari,Tamil Nadu,2.2,2.0,2.3,7.5
Karur,Tamil Nadu,2.0,2.0,2.5,7.4
Krishnagiri,Tamil Nadu,1.4,1.4,1.9,6.3
Madurai,Tamil Nadu,1.9,1.8,2.1,7.6
Mayiladuthurai,Tamil Nadu,2.4,2.5,2.2,7.2
Nagapattinam,Tamil Nadu,2.4,2.5,2.1,7.3
Namakkal,Tamil Nadu,2.1,2.0,2.5,7.3
Nilgiris,Tamil Nadu,2.6,2.0,1.9,5.4
Perambalur,Tamil Nadu,2.0,2.0,2.4,7.7
Pudukkottai,Tamil Nadu,2.1,2.1,2.1,7.5
Ramanathapuram,Tamil Nadu,1.8,1.9,2.0,7.9
Ranipet,Tamil Nadu,1.7,1.7,2.0,6.6
Salem,Tamil Nadu,2.0,2.0,2.5,7.2
Sivaganga,Tamil Nadu,1.9,1.9,2.1,7.6
Tenkasi,Tamil Nadu,2.1,2.0,2.3,7.4
Thanjavur,Tamil Nadu,2.4,2.5,2.2,7.1
Theni,Tamil Nadu,2.0,1.9,2.2,7.3
Thoothukudi,Tamil Nadu,1.8,1.9,2.2,8.0
Tiruchirappalli,Tamil Nadu,2.1,2.1,2.4,7.7
Tirunelveli,Tamil Nadu,2.0,2.0,2.2,7.6
Tirupathur,Tamil Nadu,1.5,1.4,1.9,6.4
Tiruppur,Tamil Nadu,2.1,2.1,2.6,7.2
Tiruvallur,Tamil Nadu,2.1,2.2,2.0,6.9
Tiruvannamalai,Tamil Nadu,1.5,1.5,2.0,6.5
Tiruvarur,Tamil Nadu,2.4,2.5,2.1,7.2
Vellore,Tamil Nadu,1.6,1.6,2.0,6.6
Viluppuram,Tamil Nadu,1.5,2.3,2.0,7.8
Virudhunagar,Tamil Nadu,1.9,1.8,2.1,7.7
