state,N_index,P_index,K_index,source,data_as_of
Andhra Pradesh,1.24,2.02,2.71,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Arunachal Pradesh,2.12,1.95,2.41,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Assam,2.24,2.05,2.2,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Bihar,1.4,2.19,2.64,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Chhattisgarh,1.23,1.76,2.69,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Goa,2.01,1.73,2.44,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Gujarat,1.24,2.37,2.82,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Haryana,1.08,1.89,2.28,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Himachal Pradesh,1.49,1.94,2.49,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Jharkhand,1.4,1.99,2.22,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Karnataka,1.43,2.14,2.52,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Madhya Pradesh,1.27,1.94,2.65,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Maharashtra,1.2,1.91,2.8,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Meghalaya,1.72,1.94,2.15,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Mizoram,1.44,1.75,1.87,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Nagaland,1.7,1.9,2.34,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Odisha,1.39,1.67,2.39,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Punjab,1.14,1.87,1.66,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Rajasthan,1.0,2.03,2.79,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Sikkim,1.68,2.12,2.48,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Tamil Nadu,1.01,1.9,2.61,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Tripura,1.39,2.01,2.11,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Uttarakhand,1.9,2.32,1.97,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Uttar Pradesh,1.02,1.8,2.37,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
West Bengal,1.71,2.23,2.44,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Andaman & Nicobar Islands,1.27,1.28,1.38,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Jammu & Kashmir,1.89,2.06,2.52,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
Puducherry,1.01,1.82,1.9,MoSPI EnviStats India 2024 Table 4.3,2024-07-01
